ip_term	count
176.63.30.182_volner janos	2
176.63.30.182_volner	2
176.63.30.182_kepes	2
176.63.30.182_orban	2
176.63.30.182_takarodj	2
213.229.183.42_gyöngyöspata	2
213.229.183.42_gyöngyös	6
"91.82.219.50_korrupció"""	3
"195.56.119.18_""emberi jogok"""""	2
"213.229.183.42_""emberi jogok"""""	16
"185.244.212.195_volner janos"""	2
185.216.34.222_ligeti miklós	2
185.216.34.222_transparency	2
93.190.1.154_trianon	4
93.190.1.154_budapest	4
93.190.1.154_adótartozás	6
93.190.1.154_magyar	3
"93.190.1.154_korrupció"""	6
"93.190.1.154_""emberi jogok"""""	2
"93.190.1.154_""soros györgy"""""	5
"93.190.1.154_""soros györgy"""	3
"93.190.1.154_"""	2
213.229.183.42_szeged	6
213.229.183.42_budapest	20
213.229.183.42_korrupció	21
176.63.30.197_orban	2
176.63.30.197_viktor	4
"93.176.147.27_""emberi jogok"""""	12
"93.176.147.27_""emberi jogok"""	15
"176.63.30.197_viktor"""	1
176.63.30.197_gyöngyösi	2
"176.63.30.197_gyöngyösi"""	1
"213.229.183.42_budapest"""	1
"213.229.183.42_korrupció"""	19
213.229.183.42_koppenhága	2
93.176.145.147_budapest	2
37.220.141.130_klímaváltozás	16
37.220.141.130_kihalás	2
"37.220.141.130_""pusztulnak ki"""	2
"151.0.86.84_klímaváltozás"""	3
"37.76.42.150_klímaváltozás"""	2
"37.76.99.112_klímaváltozás"""	2
"213.229.183.42_"""	4
"213.229.183.42_költségvetés"""	6
"93.190.1.154_költségvetés"""	1
"93.190.1.154_kormányváltás"""	1
"89.187.168.200_""soros györgy"""""	2
"89.187.168.200_""soros györgy"""	9
"93.176.145.147_""emberi jogok"""""	2
"93.176.145.147_""emberi jogok"""	5
"176.63.31.26_korrupció"""	1
176.63.31.26_korrupció	3
"176.63.31.26_""emberi jogok"""""	1
"176.63.31.26_""emberi jogok"""	1
"213.229.183.42_""emberi jogok"""	14
"213.222.166.79_""emberi jogok"""""	4
"213.222.166.79_""emberi jogok"""	18
"188.143.16.220_""emberi jogok"""""	3
"188.143.16.220_"""	2
"188.143.16.220_migráció OR migráns"""	1
"93.176.148.239_korrupció"""	4
93.176.148.239_korrupció	1
93.190.1.154_korrupció	4
213.229.183.42_költségvetés	2
"176.63.17.196_""emberi jogok"""""	1
"176.63.17.196_""emberi jogok"""	1
"92.249.223.150_"""	2
92.249.223.150_Derültség	8
92.249.223.150_derültség	14
92.249.223.150_gyurcsány	2
"92.249.223.150_""soros györgy"""""	1
"92.249.223.150_volner janos"""	2
"92.249.223.150_gyurcsány"""	1
"92.249.223.150_derültség"""	1
92.249.223.150_házelnök úr	4
92.249.223.150_ügyrendben	2
92.249.223.150_ügyrend	14
92.249.223.150_ügyrendi	2
92.249.223.150_kompromisszum	4
92.249.223.150_kikérem magamnak	2
92.249.223.150_elbeszélünk egymás mellett	2
92.249.223.150_demokrácia	2
92.249.223.150_trianon	2
92.249.223.150_rózsadombi paktum	2
92.249.223.150_proletariátus	2
92.249.223.150_lenin	2
92.249.223.150_erőszakos	2
92.249.223.150_erőszak	2
92.249.223.150_nők	2
92.249.223.150_felháborító	2
"185.128.26.52_derültség"""	2
"185.180.15.237_derültség"""	2
176.63.22.8_hazaáruló	4
176.63.22.8_konszenzus	4
176.63.22.8_egyetértés	2
176.63.22.8_közösen	2
176.63.22.8_konszenzus van	2
176.63.22.8_egyetértünk	2
176.63.22.8_nemzeti egység	2
176.63.22.8_hazafi	2
176.63.22.8_közös platformon	2
176.63.22.8_megegyezés	2
176.63.22.8_egyesség	3
176.63.22.8_kompromisszum	2
"176.63.22.8_"""	12
176.63.22.8_alakuló ülése	4
"176.63.22.8_""emberi jogok"""""	1
176.63.22.8_féreg	4
"176.63.22.8_féreg"""	2
176.63.22.8_zaj balról	4
176.63.22.8_zaj jobbról	2
176.63.22.8_taps	2
176.63.22.8_himnusz	2
176.63.22.8_taps balról	2
176.63.22.8_taps jobbról	2
"176.63.22.8_""taps jobbról"""	2
176.63.22.8_zaj	2
176.63.22.8_Személyes érintettség	2
"176.63.22.8_felháborító"""	2
"176.63.22.8_derültség"""	3
176.63.22.8_geci	4
176.63.22.8_cigány	2
176.63.22.8_derültség	2
176.63.22.8_közbeszólások	2
176.63.22.8_kikérem magamnak	2
176.63.22.8_csicska	6
176.63.22.8_csicskapárt	2
176.63.22.8_buzi	4
176.63.22.8_cigánybűnözés	2
176.63.22.8_soros	4
176.63.22.8_soros györgy	2
"176.63.22.8_""soros györgy"""""	2
"176.63.22.8_""soros györgy"""	3
"176.63.22.8_migráció OR migráns"""	1
"176.63.22.8_trianon"""	1
176.63.22.8_rezsicsökkentés	2
176.63.22.8_kazetta-ügy	2
176.63.22.8_simicska	2
176.63.22.8_négyes metró	4
176.63.22.8_100 lépés	2
"176.63.22.8_""száz lépés"""	2
176.63.22.8_gyűlöletbeszád	4
176.63.22.8_gyűlöletbeszéd	2
176.63.22.8_ciánszennyezés	2
176.63.22.8_csernobil	2
176.63.22.8_polgári	2
"176.63.22.8_""polgári Magyarország"""	2
176.63.22.8_patkány	2
176.63.22.8_elszámoltatás	4
176.63.22.8_inzulinpumpa	2
176.63.22.8_vodkagyár	2
176.63.22.8_kresztényüldözés	2
176.63.22.8_keresztényüldözés	2
176.63.22.8_nix ugribugri	2
176.63.22.8_migráció	4
"66.249.79.89_keresztényüldözés"""	2
"66.249.79.89_kompromisszum"""	2
185.180.15.237_tisztelet	2
185.180.15.237_rend	2
5.38.178.15_tisztelet	2
"78.96.151.128_korrupció"""	1
185.180.15.237_répa	2
185.180.15.237_mezőgazdaság	2
185.180.15.237_hableány	2
78.96.151.128_Csuhás	2
5.38.178.15_tiszteletlen	2
5.38.178.15_magyar	2
5.38.178.15_erdély	2
194.149.37.3_apek	2
194.149.37.3_apeh	24
"66.249.79.87_rezsicsökkentés"""	1
"66.249.79.87_trianon"""	2
"66.249.79.89_kikérem magamnak"""	1
"66.249.79.85_elszámoltatás"""	1
"66.249.79.85_derültség"""	2
"66.249.79.85_hazaáruló"""	1
"66.249.79.85_kikérem magamnak"""	2
"66.249.79.85_felháborító"""	1
"66.249.79.85_nix ugribugri"""	2
"66.249.79.85_""száz lépés"""""	1
80.99.200.130_Kuncze	2
80.99.200.130_Soros	2
"80.251.178.106_keresztényüldözés"""	2
81.183.229.38_populizmus	3
"195.38.100.136_jóri"""	2
81.183.229.38_pina	2
195.38.100.136_jóri	2
81.183.229.38_fütyi	2
81.183.229.38_marh	2
81.183.229.38_hülye	2
81.183.229.38_orbán	2
176.63.22.8_gémkapocs	2
37.76.125.117_Bajnai	3
77.111.96.84_megyeri lászló	2
"77.111.96.84_""megyeri lászló"""	2
77.111.96.84_színház tao	2
77.111.96.84_g7.hu	2
77.111.96.84_g7	4
"194.149.37.3_apeh"""	2
89.133.162.135_csuhások	2
89.147.103.17_domokos	2
89.147.103.17_napi.hu	2
89.133.162.135_imához	7
"89.147.103.17_euró"""	1
"77.111.96.84_g7"""	5
77.111.96.84_fabók	2
"193.226.218.10_g7"""	4
185.180.15.237_korrupció	3
185.180.15.237_derültség	4
185.180.15.237_klímaváltozás	3
"84.0.137.160_migráció"""	2
5.38.178.15_amerika	4
5.38.178.15_orosz	2
5.38.178.15_klíma	2
5.38.178.15_klímaváltozás	2
"185.180.15.237_""k-monitor"""	4
5.38.178.15_k-monitor	2
185.180.15.237_lakhatás	2
"5.38.178.15_""k-monitor"""	2
185.180.15.237_tasz	2
86.59.133.67_dobrev	3
"86.59.133.67_dobrev"""	1
185.180.15.237_gyurcsány	2
